Accession	GeneName	Description	NC_1	NC_2	NC_3	NC_4	NC_5	HC_1	HC_2	HC_3	HC_4	HC_5	HD_1	HD_2	HD_3	HD_4	HD_5
A0A0B4J1G0	Fcgr4	Low affinity immunoglobulin gamma Fc region receptor III-A	NaN	67.6510849	NaN	76.53024292	62.09119415	862.0291748	214.9431	326.9949646	578.9714355	266.0141296	95.61470795	255.8218689	293.6772461	161.6788635	NaN
A0A0G2JDV3	Gbp6	Guanylate-binding protein 6	1392.525513	1737.191284	1713.070313	1468.064697	1628.154297	2068.102783	1854.645508	2339.198242	2222.087891	2071.320313	2003.039795	2116.527344	1611.135254	2490.787354	1555.543213
A0A0G2JEB6	Cfap47	Cilia and flagella-associated protein 47	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A0A140LIF8	Irgm2	Immunity-related GTPase family M protein 2	532.2295532	541.7963867	598.1162109	638.282959	517.8556519	901.739624	769.4199829	1164.782349	739.8897095	627.0429688	478.5576477	820.3112183	345.0747681	1120.046753	857.1210327
A0A1B0GR13	Cylc1	Cylicin-1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A0A1W2P872	Nova2	RNA-binding protein Nova-2	376.7376099	260.9000854	381.894989	480.1261292	267.431427	318.3844604	566.2129517	433.6289978	555.159729	348.2500916	516.4241943	538.1703491	404.8936157	518.8776855	391.2731628
A0A286YEC0	Cirop	Ciliated left-right organizer metallopeptidase	NaN	NaN	NaN	NaN	NaN	NaN	139.6207275	47.5753212	NaN	98.56147003	NaN	NaN	NaN	NaN	NaN
A0A5F8MPU3	C2cd6	Cation channel sperm-associated targeting subunit tau	7669.433594	5258.408691	5075.881348	6202.537598	8089.338379	7260.699707	6778.587891	4863.544922	6322.447266	6276.645996	7806.768555	7272.249512	6563.169922	5238.197266	6262.38623
A0A7N9VSG0	Afg2b	ATPase family gene 2 protein homolog B	389.2010498	398.6708069	397.9744873	285.1420898	298.7236023	597.0461426	488.7893677	539.9309692	NaN	NaN	293.8414307	394.8665466	320.5335693	314.0249634	312.3180847
A0JNU3	Aspg	60 kDa lysophospholipase	124.857872	167.5853424	320.42276	115.6549988	87.28968811	NaN	90.00048828	NaN	NaN	NaN	NaN	151.3694	NaN	152.7394104	893.5318604
A1A5B6	Tbc1d25	TBC1 domain family member 25	166.3921051	205.2987671	343.5204468	194.0478821	NaN	446.0241089	269.7180176	272.7597046	239.1829224	114.9282608	378.9068604	138.6261444	NaN	148.8736267	243.9946136
A1EGX6	Fscb	Fibrous sheath CABYR-binding protein	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A1IGU4	Arhgef37	Rho guanine nucleotide exchange factor 37	NaN	57.5033226	79.22892761	36.12923813	NaN	134.1245728	64.09210968	150.6512146	193.3881683	63.1006012	119.5708466	73.64635468	155.1559448	142.1746216	NaN
