UNIPROT	PATH	PATHNAME
A0A0B4J1G0	mmu05322	Systemic lupus erythematosus
A0A0B4J1G0	mmu04613	Neutrophil extracellular trap formation
A0A0B4J1G0	mmu05152	Tuberculosis
A0A0B4J1G0	mmu04380	Osteoclast differentiation
A0A0B4J1G0	mmu05150	Staphylococcus aureus infection
A0A0B4J1G0	mmu04650	Natural killer cell mediated cytotoxicity
A0A0B4J1G0	mmu05140	Leishmaniasis
A0A0B4J1G0	mmu04145	Phagosome
A0A0B4J1G0	mmu04666	Fc gamma R-mediated phagocytosis
A0A0U1RPR8	mmu00230	Purine metabolism
A0A0U1RPR8	mmu04744	Phototransduction
A0A0U1RPR8	mmu04740	Olfactory transduction
A0A0U1RPR8	mmu01100	Metabolic pathways
A0A140LIF8	mmu05145	Toxoplasmosis
A0A140LIF8	mmu04621	NOD-like receptor signaling pathway
A0JNT9	mmu04814	Motor proteins
A0PJN4	mmu04120	Ubiquitin mediated proteolysis
A1L317	mmu04915	Estrogen signaling pathway
A1L317	mmu05150	Staphylococcus aureus infection
A1L3P4	mmu04260	Cardiac muscle contraction
A1Y9I9	mmu01100	Metabolic pathways
A1Y9I9	mmu00140	Steroid hormone biosynthesis
A1Y9I9	mmu00350	Tyrosine metabolism
A1Y9I9	mmu04728	Dopaminergic synapse
A1Z198	mmu04621	NOD-like receptor signaling pathway
A2A259	mmu04742	Taste transduction
A2A432	mmu04120	Ubiquitin mediated proteolysis
A2A432	mmu03420	Nucleotide excision repair
A2A432	mmu05170	Human immunodeficiency virus 1 infection
A2A4P0	mmu03040	Spliceosome
A2A5N8	mmu03083	Polycomb repressive complex
A2A5R2	mmu04144	Endocytosis
A2A5Z6	mmu04520	Adherens junction
A2A5Z6	mmu04120	Ubiquitin mediated proteolysis
A2A5Z6	mmu04340	Hedgehog signaling pathway
A2A5Z6	mmu04137	Mitophagy - animal
A2A5Z6	mmu04350	TGF-beta signaling pathway
A2A5Z6	mmu04144	Endocytosis
A2A6M5	mmu04140	Autophagy - animal
A2A6M5	mmu05164	Influenza A
A2A6M5	mmu04137	Mitophagy - animal
A2A6Q5	mmu04914	Progesterone-mediated oocyte maturation
A2A6Q5	mmu04120	Ubiquitin mediated proteolysis
A2A6Q5	mmu04110	Cell cycle
A2A6Q5	mmu04114	Oocyte meiosis
A2A6Q5	mmu05166	Human T-cell leukemia virus 1 infection
A2A761	mmu05168	Herpes simplex virus 1 infection
A2A8L5	mmu04910	Insulin signaling pathway
A2A8L5	mmu04514	Cell adhesion molecules
A2A8L5	mmu04520	Adherens junction
A2A8L5	mmu04931	Insulin resistance
A2A935	mmu04714	Thermogenesis
A2A935	mmu01100	Metabolic pathways
A2A935	mmu00310	Lysine degradation
A2A974	mmu04270	Vascular smooth muscle contraction
A2A974	mmu00590	Arachidonic acid metabolism
A2A974	mmu00071	Fatty acid degradation
A2A974	mmu04750	Inflammatory mediator regulation of TRP channels
A2A974	mmu00830	Retinol metabolism
A2A974	mmu03320	PPAR signaling pathway
A2A974	mmu01100	Metabolic pathways
A2A9T0	mmu04622	RIG-I-like receptor signaling pathway
A2ABU4	mmu04820	Cytoskeleton in muscle cells
A2ABV5	mmu04919	Thyroid hormone signaling pathway
A2AC93	mmu04814	Motor proteins
A2AC93	mmu05014	Amyotrophic lateral sclerosis
A2AC93	mmu05022	Pathways of neurodegeneration - multiple diseases
A2AC93	mmu05016	Huntington disease
A2ACJ2	mmu03460	Fanconi anemia pathway
A2AGH6	mmu04919	Thyroid hormone signaling pathway
A2AH22	mmu05017	Spinocerebellar ataxia
A2AH22	mmu04137	Mitophagy - animal
A2AH22	mmu05010	Alzheimer disease
A2AH22	mmu05014	Amyotrophic lateral sclerosis
A2AH22	mmu05022	Pathways of neurodegeneration - multiple diseases
A2AH22	mmu05016	Huntington disease
A2AH22	mmu04140	Autophagy - animal
A2AHG0	mmu04724	Glutamatergic synapse
A2AHL1	mmu04148	Efferocytosis
A2AIL4	mmu04714	Thermogenesis
